Car ID,Brand,Model,Year,Color,Mileage,Price,Location
1,Toyota,Camry,2018,White,45000,18000,Los Angeles
2,Honda,Civic,2019,Blue,35000,16000,New York
3,Ford,Focus,2017,Silver,55000,14000,Chicago
4,Chevrolet,Cruze,2016,Red,60000,12000,Miami
5,Hyundai,Elantra,2018,Black,40000,15000,San Francisco
6,Toyota,Corolla,2020,Gray,25000,19000,Dallas
7,Honda,Accord,2019,White,30000,18000,Atlanta
8,Ford,Mustang,2015,Yellow,65000,22000,Phoenix
9,Chevrolet,Impala,2017,Black,55000,16000,Houston
10,Hyundai,Sonata,2016,Blue,50000,14000,Seattle
11,Toyota,Rav4,2017,Gray,55000,19000,Los Angeles
12,Honda,CR-V,2020,Red,30000,23000,New York
13,Ford,Escape,2019,White,40000,21000,Chicago
14,Chevrolet,Equinox,2018,Black,45000,18000,Miami
15,Hyundai,Kona,2019,Blue,35000,20000,San Francisco
16,Toyota,Highlander,2016,Silver,60000,25000,Dallas
17,Honda,Pilot,2017,Gray,55000,24000,Atlanta
18,Ford,Explorer,2018,White,50000,23000,Phoenix
19,Chevrolet,Traverse,2020,Black,35000,28000,Houston
20,Hyundai,Santa Fe,2019,Red,40000,25000,Seattle
21,Toyota,4Runner,2015,Silver,70000,27000,Los Angeles
22,Honda,Odyssey,2016,White,55000,22000,New York
23,Ford,Edge,2017,Blue,50000,21000,Chicago
24,Chevrolet,Tahoe,2018,Black,45000,26000,Miami
25,Hyundai,Palisade,2019,Silver,30000,29000,San Francisco
26,Toyota,Sienna,2020,Red,35000,27000,Dallas
27,Honda,Fit,2017,Gray,55000,12000,Atlanta
28,Ford,Fusion,2018,White,50000,15000,Phoenix
29,Chevrolet,Malibu,2019,Blue,40000,17000,Houston
30,Hyundai,Venue,2016,Silver,60000,14000,Seattle
31,Toyota,Yaris,2017,Black,55000,12000,Los Angeles
32,Honda,HR-V,2018,White,50000,15000,New York
33,Ford,EcoSport,2019,Red,40000,17000,Chicago
34,Chevrolet,Spark,2020,Blue,35000,14000,Miami
35,Hyundai,Accent,2015,Silver,70000,12000,San Francisco
36,Toyota,Prius,2016,Gray,55000,15000,Dallas
37,Honda,Civic,2017,White,50000,17000,Atlanta
38,Ford,Fiesta,2018,Blue,40000,14000,Phoenix
39,Chevrolet,Cruze,2019,Black,45000,16000,Houston
40,Hyundai,Elantra,2020,Red,35000,18000,Seattle
41,Toyota,Camry,2017,Silver,60000,19000,Los Angeles
42,Honda,Accord,2018,White,50000,18000,New York
43,Ford,Mustang,2019,Blue,40000,22000,Chicago
44,Chevrolet,Camaro,2020,Red,35000,25000,Miami
45,Hyundai,Genesis,2015,Black,70000,18000,San Francisco
46,Toyota,Avalon,2016,Silver,55000,19000,Dallas
47,Honda,Civic,2017,Gray,50000,17000,Atlanta
48,Ford,Fusion,2018,White,45000,16000,Phoenix
49,Chevrolet,Impala,2019,Blue,40000,18000,Houston
50,Hyundai,Sonata,2020,Red,35000,20000,Seattle
51,Toyota,Corolla,2017,Silver,55000,19000,Los Angeles
52,Honda,CR-V,2018,White,50000,23000,New York
53,Ford,Escape,2019,Blue,40000,21000,Chicago
54,Chevrolet,Equinox,2020,Black,35000,24000,Miami
55,Hyundai,Tucson,2015,Red,70000,20000,San Francisco
56,Toyota,Rav4,2016,Gray,55000,22000,Dallas
57,Honda,Pilot,2017,White,50000,24000,Atlanta
58,Ford,Explorer,2018,Blue,45000,23000,Phoenix
59,Chevrolet,Traverse,2019,Black,40000,27000,Houston
60,Hyundai,Santa Fe,2020,Red,35000,25000,Seattle
61,Toyota,4Runner,2015,Silver,70000,28000,Los Angeles
62,Honda,Odyssey,2016,White,55000,22000,New York
63,Ford,Edge,2017,Blue,50000,21000,Chicago
64,Chevrolet,Tahoe,2018,Black,45000,26000,Miami
65,Hyundai,Palisade,2019,Silver,30000,29000,San Francisco
66,Toyota,Sienna,2020,Red,35000,27000,Dallas
67,Honda,Fit,2017,Gray,55000,12000,Atlanta
68,Ford,Fusion,2018,White,50000,15000,Phoenix
69,Chevrolet,Malibu,2019,Blue,40000,17000,Houston
70,Hyundai,Venue,2016,Silver,60000,14000,Seattle
71,Toyota,Yaris,2017,Black,55000,12000,Los Angeles
72,Toyota,Camry,2017,White,45000,18000,Los Angeles
73,Honda,Civic,2015,Blue,35000,16000,New York
74,Toyota,Camry,2018,White,55000,14000,Los Angeles
75,Honda,Civic,2016,Blue,60000,12000,New York
76,Ford,Focus,2019,Silver,40000,15000,Chicago
77,Chevrolet,Cruze,2015,Red,25000,19000,Miami
78,Hyundai,Elantra,2020,Black,30000,18000,San Francisco
79,Toyota,Corolla,2016,Gray,65000,22000,Dallas
80,Honda,Accord,2015,White,55000,16000,Atlanta
81,Ford,Mustang,2020,Yellow,50000,14000,Phoenix
82,Chevrolet,Impala,2015,Black,55000,19000,Houston
83,Hyundai,Sonata,2020,Blue,30000,23000,Seattle
84,Toyota,Rav5,2017,Gray,40000,21000,Los Angeles
85,Honda,CR-V,2019,Red,45000,18000,New York
86,Ford,Escape,2020,White,35000,20000,Chicago
87,Chevrolet,Equinox,2019,Black,60000,25000,Miami
88,Hyundai,Kona,2017,Blue,55000,24000,San Francisco
89,Toyota,Highlander,2016,Silver,50000,23000,Dallas
90,Honda,Pilot,2018,Gray,35000,28000,Atlanta
91,Ford,Explorer,2018,White,40000,25000,Phoenix
92,Chevrolet,Traverse,2016,Black,70000,27000,Houston
93,Hyundai,Santa Fe,2020,Red,55000,22000,Seattle
94,Toyota,4Runner,2017,Silver,50000,21000,Los Angeles
95,Honda,Odyssey,2017,White,45000,26000,New York
96,Ford,Edge,2019,Blue,30000,29000,Chicago
97,Chevrolet,Tahoe,2018,Black,35000,27000,Miami
98,Hyundai,Palisade,2018,Silver,55000,12000,San Francisco
99,Toyota,Sienna,2019,Red,50000,15000,Dallas
100,Honda,Fit,2017,Gray,40000,17000,Atlanta
101,Ford,Fusion,2015,White,60000,14000,Phoenix
102,Chevrolet,Malibu,2016,Blue,55000,12000,Houston
103,Hyundai,Venue,2018,Silver,50000,15000,Seattle
104,Toyota,Yaris,2018,Black,40000,17000,Los Angeles
105,Honda,HR-V,2016,White,35000,14000,New York
106,Ford,EcoSport,2017,Red,70000,12000,Chicago
107,Chevrolet,Spark,2017,Blue,55000,15000,Miami
108,Hyundai,Accent,2019,Silver,50000,17000,San Francisco
109,Toyota,Prius,2017,Gray,40000,14000,Dallas
110,Honda,Civic,2015,White,45000,16000,Atlanta
111,Ford,Fiesta,2019,Blue,35000,18000,Phoenix
112,Chevrolet,Cruze,2018,Black,60000,19000,Houston
113,Hyundai,Elantra,2016,Red,50000,18000,Seattle
114,Toyota,Camry,2019,Silver,40000,22000,Los Angeles
115,Honda,Accord,2020,White,35000,25000,New York
116,Ford,Mustang,2020,Blue,70000,18000,Chicago
117,Chevrolet,Camaro,2019,Red,55000,19000,Miami
118,Hyundai,Genesis,2017,Black,50000,17000,San Francisco
119,Toyota,Avalon,2015,Silver,45000,16000,Dallas
120,Honda,Civic,2015,Gray,40000,18000,Atlanta
121,Ford,Fusion,2015,White,35000,20000,Phoenix
122,Chevrolet,Impala,2020,Blue,55000,19000,Houston
123,Hyundai,Sonata,2017,Red,50000,23000,Seattle
124,Toyota,Corolla,2017,Silver,40000,21000,Los Angeles
125,Honda,CR-V,2018,White,35000,24000,New York
126,Ford,Escape,2019,Blue,70000,20000,Chicago
127,Chevrolet,Equinox,2015,Black,55000,22000,Miami
128,Hyundai,Tucson,2019,Red,50000,24000,San Francisco
129,Toyota,Rav5,2015,Gray,45000,23000,Dallas
130,Honda,Pilot,2016,White,40000,27000,Atlanta
131,Ford,Explorer,2015,Blue,35000,25000,Phoenix
132,Chevrolet,Traverse,2017,Black,70000,28000,Houston
133,Hyundai,Santa Fe,2018,Red,55000,22000,Seattle
134,Toyota,4Runner,2017,Silver,50000,21000,Los Angeles
135,Honda,Odyssey,2016,White,45000,26000,New York
136,Ford,Edge,2019,Blue,30000,29000,Chicago
137,Chevrolet,Tahoe,2016,Black,35000,27000,Miami
138,Hyundai,Palisade,2020,Silver,55000,12000,San Francisco
139,Toyota,Sienna,2020,Red,50000,15000,Dallas
140,Honda,Fit,2018,Gray,40000,17000,Atlanta
141,Ford,Fusion,2018,White,60000,14000,Phoenix
142,Chevrolet,Malibu,2019,Blue,55000,12000,Houston
143,Hyundai,Venue,2015,Silver,45000,18000,Seattle
144,Toyota,Yaris,2018,Black,35000,16000,Los Angeles
145,Toyota,Camry,2018,White,55000,14000,Los Angeles
146,Honda,Civic,2016,Blue,60000,12000,New York
147,Toyota,Camry,2016,White,40000,15000,Los Angeles
148,Honda,Civic,2016,Blue,25000,19000,New York
149,Ford,Focus,2016,Silver,30000,18000,Chicago
150,Chevrolet,Cruze,2018,Red,65000,22000,Miami
151,Hyundai,Elantra,2017,Black,55000,16000,San Francisco
152,Toyota,Corolla,2019,Gray,50000,14000,Dallas
153,Honda,Accord,2017,White,55000,19000,Atlanta
154,Ford,Mustang,2017,Yellow,30000,23000,Phoenix
155,Chevrolet,Impala,2015,Black,40000,21000,Houston
156,Hyundai,Sonata,2017,Blue,45000,18000,Seattle
157,Toyota,Rav6,2015,Gray,35000,20000,Los Angeles
158,Honda,CR-V,2020,Red,60000,25000,New York
159,Ford,Escape,2019,White,55000,24000,Chicago
160,Chevrolet,Equinox,2015,Black,50000,23000,Miami
161,Hyundai,Kona,2020,Blue,35000,28000,San Francisco
162,Toyota,Highlander,2020,Silver,40000,25000,Dallas
163,Honda,Pilot,2018,Gray,70000,27000,Atlanta
164,Ford,Explorer,2015,White,55000,22000,Phoenix
165,Chevrolet,Traverse,2017,Black,50000,21000,Houston
166,Hyundai,Santa Fe,2019,Red,45000,26000,Seattle
167,Toyota,4Runner,2019,Silver,30000,29000,Los Angeles
168,Honda,Odyssey,2016,White,35000,27000,New York
169,Ford,Edge,2019,Blue,55000,12000,Chicago
170,Chevrolet,Tahoe,2015,Black,50000,15000,Miami
171,Hyundai,Palisade,2016,Silver,40000,17000,San Francisco
172,Toyota,Sienna,2019,Red,60000,14000,Dallas
173,Honda,Fit,2020,Gray,55000,12000,Atlanta
174,Ford,Fusion,2019,White,50000,15000,Phoenix
175,Chevrolet,Malibu,2016,Blue,40000,17000,Houston
176,Hyundai,Venue,2015,Silver,35000,14000,Seattle
177,Toyota,Yaris,2018,Black,70000,12000,Los Angeles
178,Honda,HR-V,2017,White,55000,15000,New York
179,Ford,EcoSport,2016,Red,50000,17000,Chicago
180,Chevrolet,Spark,2016,Blue,40000,14000,Miami
181,Hyundai,Accent,2016,Silver,45000,16000,San Francisco
182,Toyota,Prius,2019,Gray,35000,18000,Dallas
183,Honda,Civic,2015,White,60000,19000,Atlanta
184,Ford,Fiesta,2018,Blue,50000,18000,Phoenix
185,Chevrolet,Cruze,2015,Black,40000,22000,Houston
186,Hyundai,Elantra,2015,Red,35000,25000,Seattle
187,Toyota,Camry,2020,Silver,70000,18000,Los Angeles
188,Honda,Accord,2016,White,55000,19000,New York
189,Ford,Mustang,2016,Blue,50000,17000,Chicago
190,Chevrolet,Camaro,2020,Red,45000,16000,Miami
191,Hyundai,Genesis,2020,Black,40000,18000,San Francisco
192,Toyota,Avalon,2019,Silver,35000,20000,Dallas
193,Honda,Civic,2015,Gray,55000,19000,Atlanta
194,Ford,Fusion,2020,White,50000,23000,Phoenix
195,Chevrolet,Impala,2016,Blue,40000,21000,Houston
196,Hyundai,Sonata,2016,Red,35000,24000,Seattle
197,Toyota,Corolla,2020,Silver,70000,20000,Los Angeles
198,Honda,CR-V,2015,White,55000,22000,New York
199,Ford,Escape,2019,Blue,50000,24000,Chicago
200,Chevrolet,Equinox,2019,Black,45000,23000,Miami
201,Hyundai,Tucson,2015,Red,40000,27000,San Francisco
202,Toyota,Rav6,2016,Gray,35000,25000,Dallas
203,Honda,Pilot,2016,White,70000,28000,Atlanta
204,Ford,Explorer,2019,Blue,55000,22000,Phoenix
205,Chevrolet,Traverse,2017,Black,50000,21000,Houston
206,Hyundai,Santa Fe,2017,Red,45000,26000,Seattle
207,Toyota,4Runner,2018,Silver,30000,29000,Los Angeles
208,Honda,Odyssey,2015,White,35000,27000,New York
209,Ford,Edge,2019,Blue,55000,12000,Chicago
210,Chevrolet,Tahoe,2018,Black,50000,15000,Miami
211,Hyundai,Palisade,2016,Silver,40000,17000,San Francisco
212,Toyota,Sienna,2018,Red,60000,14000,Dallas
213,Honda,Fit,2019,Gray,55000,12000,Atlanta
214,Ford,Fusion,2017,White,45000,18000,Phoenix
215,Chevrolet,Malibu,2015,Blue,35000,16000,Houston
216,Hyundai,Venue,2016,Silver,55000,14000,Seattle
217,Toyota,Yaris,2015,Black,60000,12000,Los Angeles
218,Toyota,Camry,2017,White,40000,15000,Los Angeles
219,Honda,Civic,2015,Blue,25000,19000,New York
220,Toyota,Camry,2020,White,30000,18000,Los Angeles
221,Honda,Civic,2019,Blue,65000,22000,New York
222,Ford,Focus,2019,Silver,55000,16000,Chicago
223,Chevrolet,Cruze,2018,Red,50000,14000,Miami
224,Hyundai,Elantra,2016,Black,55000,19000,San Francisco
225,Toyota,Corolla,2018,Gray,30000,23000,Dallas
226,Honda,Accord,2016,White,40000,21000,Atlanta
227,Ford,Mustang,2015,Yellow,45000,18000,Phoenix
228,Chevrolet,Impala,2018,Black,35000,20000,Houston
229,Hyundai,Sonata,2015,Blue,60000,25000,Seattle
230,Toyota,Rav7,2016,Gray,55000,24000,Los Angeles
231,Honda,CR-V,2019,Red,50000,23000,New York
232,Ford,Escape,2015,White,35000,28000,Chicago
233,Chevrolet,Equinox,2020,Black,40000,25000,Miami
234,Hyundai,Kona,2018,Blue,70000,27000,San Francisco
235,Toyota,Highlander,2020,Silver,55000,22000,Dallas
236,Honda,Pilot,2020,Gray,50000,21000,Atlanta
237,Ford,Explorer,2019,White,45000,26000,Phoenix
238,Chevrolet,Traverse,2018,Black,30000,29000,Houston
239,Hyundai,Santa Fe,2016,Red,35000,27000,Seattle
240,Toyota,4Runner,2018,Silver,55000,12000,Los Angeles
241,Honda,Odyssey,2017,White,50000,15000,New York
242,Ford,Edge,2015,Blue,40000,17000,Chicago
243,Chevrolet,Tahoe,2018,Black,60000,14000,Miami
244,Hyundai,Palisade,2015,Silver,55000,12000,San Francisco
245,Toyota,Sienna,2016,Red,50000,15000,Dallas
246,Honda,Fit,2020,Gray,40000,17000,Atlanta
247,Ford,Fusion,2019,White,35000,14000,Phoenix
248,Chevrolet,Malibu,2017,Blue,70000,12000,Houston
249,Hyundai,Venue,2019,Silver,55000,15000,Seattle
250,Toyota,Yaris,2017,Black,50000,17000,Los Angeles
