Car ID,Brand,Model,Year,Color,Mileage,Price,Location
251,Honda,HR-V,2020,White,40000,14000,New York
252,Ford,EcoSport,2017,Red,45000,16000,Chicago
253,Chevrolet,Spark,2015,Blue,35000,18000,Miami
254,Hyundai,Accent,2015,Silver,60000,19000,San Francisco
255,Toyota,Prius,2017,Gray,50000,18000,Dallas
256,Honda,Civic,2020,White,40000,22000,Atlanta
257,Ford,Fiesta,2017,Blue,35000,25000,Phoenix
258,Chevrolet,Cruze,2020,Black,70000,18000,Houston
259,Hyundai,Elantra,2018,Red,55000,19000,Seattle
260,Toyota,Camry,2015,Silver,50000,17000,Los Angeles
261,Honda,Accord,2020,White,45000,16000,New York
262,Ford,Mustang,2015,Blue,40000,18000,Chicago
263,Chevrolet,Camaro,2016,Red,35000,20000,Miami
264,Hyundai,Genesis,2020,Black,55000,19000,San Francisco
265,Toyota,Avalon,2016,Silver,50000,23000,Dallas
266,Honda,Civic,2019,Gray,40000,21000,Atlanta
267,Ford,Fusion,2017,White,35000,24000,Phoenix
268,Chevrolet,Impala,2019,Blue,70000,20000,Houston
269,Hyundai,Sonata,2015,Red,55000,22000,Seattle
270,Toyota,Corolla,2018,Silver,50000,24000,Los Angeles
271,Honda,CR-V,2018,White,45000,23000,New York
272,Ford,Escape,2019,Blue,40000,27000,Chicago
273,Chevrolet,Equinox,2018,Black,35000,25000,Miami
274,Hyundai,Tucson,2015,Red,70000,28000,San Francisco
275,Toyota,Rav7,2019,Gray,55000,22000,Dallas
276,Honda,Pilot,2019,White,50000,21000,Atlanta
277,Ford,Explorer,2017,Blue,45000,26000,Phoenix
278,Chevrolet,Traverse,2017,Black,30000,29000,Houston
279,Hyundai,Santa Fe,2018,Red,35000,27000,Seattle
280,Toyota,4Runner,2017,Silver,55000,12000,Los Angeles
281,Honda,Odyssey,2015,White,50000,15000,New York
282,Ford,Edge,2020,Blue,40000,17000,Chicago
283,Chevrolet,Tahoe,2019,Black,60000,14000,Miami
284,Hyundai,Palisade,2017,Silver,55000,12000,San Francisco
285,Toyota,Sienna,2016,Red,45000,18000,Dallas
286,Honda,Fit,2017,Gray,35000,16000,Atlanta
287,Ford,Fusion,2019,White,55000,14000,Phoenix
288,Chevrolet,Malibu,2020,Blue,60000,12000,Houston
289,Hyundai,Venue,2018,Silver,40000,15000,Seattle
290,Toyota,Yaris,2019,Black,25000,19000,Los Angeles
291,Toyota,Camry,2018,White,30000,18000,Los Angeles
292,Honda,Civic,2015,Blue,65000,22000,New York
293,Toyota,Camry,2015,White,55000,16000,Los Angeles
294,Honda,Civic,2019,Blue,50000,14000,New York
295,Ford,Focus,2016,Silver,55000,19000,Chicago
296,Chevrolet,Cruze,2015,Red,30000,23000,Miami
297,Hyundai,Elantra,2019,Black,40000,21000,San Francisco
298,Toyota,Corolla,2016,Gray,45000,18000,Dallas
299,Honda,Accord,2020,White,35000,20000,Atlanta
300,Ford,Mustang,2019,Yellow,60000,25000,Phoenix
301,Chevrolet,Impala,2017,Black,55000,24000,Houston
302,Hyundai,Sonata,2019,Blue,50000,23000,Seattle
303,Toyota,Rav8,2019,Gray,35000,28000,Los Angeles
304,Honda,CR-V,2017,Red,40000,25000,New York
305,Ford,Escape,2016,White,70000,27000,Chicago
306,Chevrolet,Equinox,2016,Black,55000,22000,Miami
307,Hyundai,Kona,2016,Blue,50000,21000,San Francisco
308,Toyota,Highlander,2017,Silver,45000,26000,Dallas
309,Honda,Pilot,2018,Gray,30000,29000,Atlanta
310,Ford,Explorer,2016,White,35000,27000,Phoenix
311,Chevrolet,Traverse,2018,Black,55000,12000,Houston
312,Hyundai,Santa Fe,2019,Red,50000,15000,Seattle
313,Toyota,4Runner,2017,Silver,40000,17000,Los Angeles
314,Honda,Odyssey,2016,White,60000,14000,New York
315,Ford,Edge,2020,Blue,55000,12000,Chicago
316,Chevrolet,Tahoe,2017,Black,50000,15000,Miami
317,Hyundai,Palisade,2015,Silver,40000,17000,San Francisco
318,Toyota,Sienna,2019,Red,35000,14000,Dallas
319,Honda,Fit,2020,Gray,70000,12000,Atlanta
320,Ford,Fusion,2020,White,55000,15000,Phoenix
321,Chevrolet,Malibu,2019,Blue,50000,17000,Houston
322,Hyundai,Venue,2018,Silver,40000,14000,Seattle
323,Toyota,Yaris,2019,Black,45000,16000,Los Angeles
324,Honda,HR-V,2017,White,35000,18000,New York
325,Ford,EcoSport,2020,Red,60000,19000,Chicago
326,Chevrolet,Spark,2017,Blue,50000,18000,Miami
327,Hyundai,Accent,2017,Silver,40000,22000,San Francisco
328,Toyota,Prius,2016,Gray,35000,25000,Dallas
329,Honda,Civic,2015,White,70000,18000,Atlanta
330,Ford,Fiesta,2020,Blue,55000,19000,Phoenix
331,Chevrolet,Cruze,2015,Black,50000,17000,Houston
332,Hyundai,Elantra,2016,Red,45000,16000,Seattle
333,Toyota,Camry,2018,Silver,40000,18000,Los Angeles
334,Honda,Accord,2018,White,35000,20000,New York
335,Ford,Mustang,2019,Blue,55000,19000,Chicago
336,Chevrolet,Camaro,2019,Red,50000,23000,Miami
337,Hyundai,Genesis,2015,Black,40000,21000,San Francisco
338,Toyota,Avalon,2019,Silver,35000,24000,Dallas
339,Honda,Civic,2016,Gray,70000,20000,Atlanta
340,Ford,Fusion,2018,White,55000,22000,Phoenix
341,Chevrolet,Impala,2017,Blue,50000,24000,Houston
342,Hyundai,Sonata,2020,Red,45000,23000,Seattle
343,Toyota,Corolla,2020,Silver,40000,27000,Los Angeles
344,Honda,CR-V,2020,White,35000,25000,New York
345,Ford,Escape,2015,Blue,70000,28000,Chicago
346,Chevrolet,Equinox,2020,Black,55000,22000,Miami
347,Hyundai,Tucson,2017,Red,50000,21000,San Francisco
348,Toyota,Rav8,2016,Gray,45000,26000,Dallas
349,Honda,Pilot,2018,White,30000,29000,Atlanta
350,Ford,Explorer,2017,Blue,35000,27000,Phoenix
351,Chevrolet,Traverse,2019,Black,55000,12000,Houston
352,Hyundai,Santa Fe,2017,Red,50000,15000,Seattle
353,Toyota,4Runner,2016,Silver,40000,17000,Los Angeles
354,Honda,Odyssey,2015,White,60000,14000,New York
355,Ford,Edge,2019,Blue,55000,12000,Chicago
356,Chevrolet,Tahoe,2016,Black,45000,18000,Miami
357,Hyundai,Palisade,2015,Silver,35000,16000,San Francisco
358,Toyota,Sienna,2016,Red,55000,14000,Dallas
359,Honda,Fit,2019,Gray,60000,12000,Atlanta
360,Ford,Fusion,2020,White,40000,15000,Phoenix
361,Chevrolet,Malibu,2015,Blue,25000,19000,Houston
362,Hyundai,Venue,2016,Silver,30000,18000,Seattle
363,Toyota,Yaris,2015,Black,65000,22000,Los Angeles
364,Toyota,Camry,2020,White,55000,16000,Los Angeles
365,Honda,Civic,2015,Blue,50000,14000,New York
366,Toyota,Camry,2020,White,55000,19000,Los Angeles
367,Honda,Civic,2015,Blue,30000,23000,New York
368,Ford,Focus,2016,Silver,40000,21000,Chicago
369,Chevrolet,Cruze,2019,Red,45000,18000,Miami
370,Hyundai,Elantra,2017,Black,35000,20000,San Francisco
371,Toyota,Corolla,2018,Gray,60000,25000,Dallas
372,Honda,Accord,2018,White,55000,24000,Atlanta
373,Ford,Mustang,2015,Yellow,50000,23000,Phoenix
374,Chevrolet,Impala,2017,Black,35000,28000,Houston
375,Hyundai,Sonata,2018,Blue,40000,25000,Seattle
376,Toyota,Rav9,2015,Gray,70000,27000,Los Angeles
377,Honda,CR-V,2018,Red,55000,22000,New York
378,Ford,Escape,2015,White,50000,21000,Chicago
379,Chevrolet,Equinox,2018,Black,45000,26000,Miami
380,Hyundai,Kona,2019,Blue,30000,29000,San Francisco
381,Toyota,Highlander,2019,Silver,35000,27000,Dallas
382,Honda,Pilot,2017,Gray,55000,12000,Atlanta
383,Ford,Explorer,2016,White,50000,15000,Phoenix
384,Chevrolet,Traverse,2020,Black,40000,17000,Houston
385,Hyundai,Santa Fe,2019,Red,60000,14000,Seattle
386,Toyota,4Runner,2015,Silver,55000,12000,Los Angeles
387,Honda,Odyssey,2015,White,50000,15000,New York
388,Ford,Edge,2018,Blue,40000,17000,Chicago
389,Chevrolet,Tahoe,2017,Black,35000,14000,Miami
390,Hyundai,Palisade,2020,Silver,70000,12000,San Francisco
391,Toyota,Sienna,2016,Red,55000,15000,Dallas
392,Honda,Fit,2020,Gray,50000,17000,Atlanta
393,Ford,Fusion,2019,White,40000,14000,Phoenix
394,Chevrolet,Malibu,2015,Blue,45000,16000,Houston
395,Hyundai,Venue,2019,Silver,35000,18000,Seattle
396,Toyota,Yaris,2017,Black,60000,19000,Los Angeles
397,Honda,HR-V,2018,White,50000,18000,New York
398,Ford,EcoSport,2016,Red,40000,22000,Chicago
399,Chevrolet,Spark,2015,Blue,35000,25000,Miami
400,Hyundai,Accent,2017,Silver,70000,18000,San Francisco
401,Toyota,Prius,2015,Gray,55000,19000,Dallas
402,Honda,Civic,2017,White,50000,17000,Atlanta
403,Ford,Fiesta,2017,Blue,45000,16000,Phoenix
404,Chevrolet,Cruze,2017,Black,40000,18000,Houston
405,Hyundai,Elantra,2020,Red,35000,20000,Seattle
406,Toyota,Camry,2018,Silver,55000,19000,Los Angeles
407,Honda,Accord,2016,White,50000,23000,New York
408,Ford,Mustang,2015,Blue,40000,21000,Chicago
409,Chevrolet,Camaro,2017,Red,35000,24000,Miami
410,Hyundai,Genesis,2015,Black,70000,20000,San Francisco
411,Toyota,Avalon,2018,Silver,55000,22000,Dallas
412,Honda,Civic,2020,Gray,50000,24000,Atlanta
413,Ford,Fusion,2019,White,45000,23000,Phoenix
414,Chevrolet,Impala,2015,Blue,40000,27000,Houston
415,Hyundai,Sonata,2015,Red,35000,25000,Seattle
416,Toyota,Corolla,2016,Silver,70000,28000,Los Angeles
417,Honda,CR-V,2015,White,55000,22000,New York
418,Ford,Escape,2015,Blue,50000,21000,Chicago
419,Chevrolet,Equinox,2017,Black,45000,26000,Miami
420,Hyundai,Tucson,2016,Red,30000,29000,San Francisco
421,Toyota,Rav9,2018,Gray,35000,27000,Dallas
422,Honda,Pilot,2019,White,55000,12000,Atlanta
423,Ford,Explorer,2019,Blue,50000,15000,Phoenix
424,Chevrolet,Traverse,2020,Black,40000,17000,Houston
425,Hyundai,Santa Fe,2020,Red,60000,14000,Seattle
426,Toyota,4Runner,2016,Silver,55000,12000,Los Angeles
427,Honda,Odyssey,2019,White,45000,18000,New York
428,Ford,Edge,2015,Blue,35000,16000,Chicago
429,Chevrolet,Tahoe,2016,Black,55000,14000,Miami
430,Hyundai,Palisade,2015,Silver,60000,12000,San Francisco
431,Toyota,Sienna,2017,Red,40000,15000,Dallas
432,Honda,Fit,2016,Gray,25000,19000,Atlanta
433,Ford,Fusion,2016,White,30000,18000,Phoenix
434,Chevrolet,Malibu,2018,Blue,65000,22000,Houston
435,Hyundai,Venue,2015,Silver,55000,16000,Seattle
436,Toyota,Yaris,2018,Black,50000,14000,Los Angeles
437,Toyota,Camry,2016,White,55000,19000,Los Angeles
438,Honda,Civic,2017,Blue,30000,23000,New York
439,Toyota,Camry,2019,White,40000,21000,Los Angeles
440,Honda,Civic,2016,Blue,45000,18000,New York
441,Ford,Focus,2019,Silver,35000,20000,Chicago
442,Chevrolet,Cruze,2017,Red,60000,25000,Miami
443,Hyundai,Elantra,2019,Black,55000,24000,San Francisco
444,Toyota,Corolla,2015,Gray,50000,23000,Dallas
445,Honda,Accord,2015,White,35000,28000,Atlanta
446,Ford,Mustang,2016,Yellow,40000,25000,Phoenix
447,Chevrolet,Impala,2018,Black,70000,27000,Houston
448,Hyundai,Sonata,2020,Blue,55000,22000,Seattle
449,Toyota,Rav10,2019,Gray,50000,21000,Los Angeles
450,Honda,CR-V,2018,Red,45000,26000,New York
451,Ford,Escape,2020,White,30000,29000,Chicago
452,Chevrolet,Equinox,2015,Black,35000,27000,Miami
453,Hyundai,Kona,2016,Blue,55000,12000,San Francisco
454,Toyota,Highlander,2015,Silver,50000,15000,Dallas
455,Honda,Pilot,2020,Gray,40000,17000,Atlanta
456,Ford,Explorer,2015,White,60000,14000,Phoenix
457,Chevrolet,Traverse,2019,Black,55000,12000,Houston
458,Hyundai,Santa Fe,2018,Red,50000,15000,Seattle
459,Toyota,4Runner,2016,Silver,40000,17000,Los Angeles
460,Honda,Odyssey,2018,White,35000,14000,New York
461,Ford,Edge,2015,Blue,70000,12000,Chicago
462,Chevrolet,Tahoe,2015,Black,55000,15000,Miami
463,Hyundai,Palisade,2020,Silver,50000,17000,San Francisco
464,Toyota,Sienna,2015,Red,40000,14000,Dallas
465,Honda,Fit,2017,Gray,45000,16000,Atlanta
466,Ford,Fusion,2019,White,35000,18000,Phoenix
467,Chevrolet,Malibu,2018,Blue,60000,19000,Houston
468,Hyundai,Venue,2016,Silver,50000,18000,Seattle
469,Toyota,Yaris,2017,Black,40000,22000,Los Angeles
470,Honda,HR-V,2018,White,35000,25000,New York
471,Ford,EcoSport,2020,Red,70000,18000,Chicago
472,Chevrolet,Spark,2018,Blue,55000,19000,Miami
473,Hyundai,Accent,2018,Silver,50000,17000,San Francisco
474,Toyota,Prius,2015,Gray,45000,16000,Dallas
475,Honda,Civic,2016,White,40000,18000,Atlanta
476,Ford,Fiesta,2017,Blue,35000,20000,Phoenix
477,Chevrolet,Cruze,2019,Black,55000,19000,Houston
478,Hyundai,Elantra,2017,Red,50000,23000,Seattle
479,Toyota,Camry,2020,Silver,40000,21000,Los Angeles
480,Honda,Accord,2019,White,35000,24000,New York
481,Ford,Mustang,2016,Blue,70000,20000,Chicago
482,Chevrolet,Camaro,2016,Red,55000,22000,Miami
483,Hyundai,Genesis,2015,Black,50000,24000,San Francisco
484,Toyota,Avalon,2017,Silver,45000,23000,Dallas
485,Honda,Civic,2018,Gray,40000,27000,Atlanta
486,Ford,Fusion,2020,White,35000,25000,Phoenix
487,Chevrolet,Impala,2016,Blue,70000,28000,Houston
488,Hyundai,Sonata,2020,Red,55000,22000,Seattle
489,Toyota,Corolla,2017,Silver,50000,21000,Los Angeles
490,Honda,CR-V,2018,White,45000,26000,New York
491,Ford,Escape,2016,Blue,30000,29000,Chicago
492,Chevrolet,Equinox,2015,Black,35000,27000,Miami
493,Hyundai,Tucson,2015,Red,55000,12000,San Francisco
494,Toyota,Rav10,2019,Gray,50000,15000,Dallas
495,Honda,Pilot,2018,White,40000,17000,Atlanta
496,Ford,Explorer,2020,Blue,60000,14000,Phoenix
497,Chevrolet,Traverse,2015,Black,55000,12000,Houston
498,Hyundai,Santa Fe,2017,Red,45000,18000,Seattle
499,Toyota,4Runner,2020,Silver,35000,16000,Los Angeles
500,Honda,Odyssey,2018,White,55000,14000,New York
